ID,Birth date,Development Treatment,Calan Treatment,Pen #,Initial BW,Final BW,DMI,ADG,Gest Length,Calved First 21 Days,1st Calf BW,Calving Ease,Calf Vigor,Birth date .1,Sire,SEX,Final Calf BW,HCW,REA,YG,BF
694,7-Mar,stalks,DDG,4.0,961,1187,24.95,2.34,277,1,69,1,1,2/26/2018,1104,HFR,1283,808,13.319,3.48,0.692
695,12-Mar,range,DDG,2.0,957,1143,22.52,1.92,276,1,71,1,3,2/25/2018,1104,STR,1348,849,12.296,3.66,0.586
699,15-Mar,drylot,MET,3.0,938,1129,21.92,1.97,280,1,67,1,1,3/1/2018,1616,HFR,1089,686,12.719,2.41,0.4
702,16-Mar,DLHI,DDG,2.0,1047,1242,22.14,2.08,277,1,83,1,1,2/25/2019,1104,STR,1144,721,10.57,3.66,0.664
703,22-Mar,RANGE,DDG,1.0,1026,1228,22.26,2.15,279,1,53,1,1,2/26/2019,2213,STR,1298,818,12.94,4.25,0.9
705,.,.,.,2.5,.,.,.,.,.,.,.,.,.,.,.,.,1011,637,11.1,3.03,0.412
707,3-Mar,DLHI,CON,2.0,1078,1190,22.29,1.19,280,1,68,1,1,2/27/2019,1104,STR,1373,865,13.62,3.85,0.74
709,17-Apr,DLLO,CON,4.0,1116,1240,22.6,1.32,273,1,73,1,1,2/21/2019,2213,HFR,1240,781,12.03,3.93,0.772
710,14-Mar,RANGE,DDG,3.0,979,1178,21.59,2.12,279,1,71,1,1,2/27/2019,1616,STR,1478,931,12.85,3.86,0.744
711,22-Feb,DLLO,MET,1.0,963,1146,20.81,1.95,273,1,73,1,1,2/21/2019,1104,HFR,1294,815,13.25,3.67,0.668
712,.,.,.,2.5,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
717,13-Mar,DLHI,DDG,2.0,1023,1261,22.95,2.54,272,1,71,1,1,2/20/2019,2213,HFR,.,.,.,.,.
723,14-Mar,DLHI,CON,4.0,1003,1167,21.95,1.74,277,1,65,1,1,2/25/2019,1104,HFR,1346,848,12.91,3.93,0.772
725,2-Mar,RANGE,CON,2.0,1008,1148,24.3,1.49,278,1,75,2,1,2/27/2019,1616,STR,1270,800,11.96,3.7,0.68
726,20-Mar,DLHI,CON,1.0,1009,1095,22.61,0.91,277,1,70,1,1,2/25/2019,1616,HFR,1292,814,12.61,3.88,0.752
727,.,.,.,2.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
728,21-Mar,DLLO,MET,3.0,1045,1365,25.83,3.4,280,1,87,1,2,2/28/2019,2213,STR,.,.,.,.,.
730,28-Feb,DLLO,DDG,4.0,1010,1213,21.81,2.16,274,1,68,1,1,2/21/2019,1104,HFR,1502,946,13.41,4.25,0.9
731,20-Feb,DLLO,DDG,3.0,1016,1212,24.21,2.09,276,1,67,1,1,2/24/2019,1616,STR,1283,808,12.29,4.17,0.868
732,.,.,.,2.5,.,.,.,.,.,.,.,1,1,.,.,STR,.,.,.,.,.
734,22-Mar,RANGE,CON,3.0,928,1092,20.25,1.74,274,1,76,.,.,2/22/2019,2213,STR,.,.,.,.,.
738,.,DLHI,DDG,1.0,1011,1229,21.67,2.32,281,1,78,1,1,3/1/2019,1104,STR,1365,860,12.65,3.7,0.68
741,28-Feb,RANGE,CON,1.0,893,1045,20.79,1.62,277,1,.,2,1,2/25/2019,1616,STR,.,.,.,.,.
747,8-Mar,RANGE,MET,2.0,931,1139,21.82,2.22,275,1,74,1,1,2/23/2019,1104,STR,1379,869,14.38,3.49,0.596
752,9-Mar,DLHI,MET,2.0,1001,1197,21.43,2.09,275,1,53,1,1,2/25/2019,1104,STR,1397,880,14.36,3.49,0.596
753,.,DLLO,CON,1.0,1043,1223,24.66,1.91,277,1,63,1,1,2/25/2019,2213,HFR,1173,739,14.01,3.39,0.556
758,7-Mar,DLLO,DDG,1.0,978,1201,21.66,2.38,268,1,80,1,4,2/16/2019,1104,STR,.,.,.,.,.
759,19-Mar,DLLO,MET,4.0,936,1117,19.18,1.93,279,1,73,1,1,2/27/2019,2213,STR,1240,781,14.23,3.29,0.516
760,23-Feb,RANGE,MET,4.0,932,1126,20.14,2.06,273,1,71,1,1,2/21/2019,1104,HFR,1171,738,11.55,3.94,0.776
761,17-Apr,RANGE,CON,3.0,930,1108,23.35,1.89,273,1,68,1,1,2/22/2019,1104,HFR,1413,890,14.34,3.7,0.68
762,18-Feb,DLLO,DDG,3.0,1085,1260,22.16,1.87,279,1,73,1,1,2/27/2019,1104,STR,1519,957,16.88,3.83,0.732
763,26-Mar,RANGE,DDG,2.0,960,1141,21.51,1.93,291,1,57,1,2,3/9/2019,1616,HFR,1230,775,12.56,4.32,0.928
764,22-Feb,RANGE,MET,1.0,921,1145,21.76,2.39,270,1,88,3,5,2/17/2019,2213,STR,.,.,.,.,.
766,24-Feb,DLHI,DDG,4.0,1031,1219,22.69,2,274,1,64,1,1,2/22/2019,2213,HFR,1262,795,13.53,3.14,0.456
767,28-Mar,DLHI,MET,3.0,1012,1220,22.02,2.21,270,1,72,3,1,2/18/2019,2213,STR,1389,875,12.46,3.93,0.772
770,1-Mar,DLLO,CON,4.0,1109,1238,22.84,1.38,275,1,83,1,1,2/23/2019,2213,STR,1400,882,15.92,3.13,0.452
774,21-Mar,DLHI,CON,3.0,1098,1277,25.49,1.9,279,1,78,1,1,2/27/2019,1104,STR,1373,865,14.88,3.72,0.688
776,31-Mar,DLLO,MET,2.0,1111,1331,23.37,2.35,275,1,72,1,1,2/25/2019,1104,STR,1411,889,13.12,4.03,0.812
777,30-Mar,DLHI,MET,4.0,1209,1468,26.94,2.76,273,1,64,1,1,2/22/2019,2213,HFR,1195,753,11.45,4.13,0.852
782,17-Apr,DLHI,CON,3.0,1042,1167,22.39,1.34,275,1,77,2,3,2/23/2019,1104,HFR,1408,887,12.23,4.04,0.816
786,22-Feb,RANGE,DDG,4.0,984,1189,23.06,2.18,274,1,68,1,1,2/24/2019,1104,HFR,1302,820,12.34,3.92,0.768
788,17-Mar,RANGE,MET,4.0,975,1193,22.88,2.32,279,1,75,1,1,2/26/2019,1104,STR,1370,863,13.47,3.51,0.604
789,14-Jan,RANGE,MET,1.0,1061,1259,22.5,2.11,277,1,69,1,1,2/25/2019,2213,HFR,1227,773,12.74,3.88,0.752
790,5-Mar,DLHI,MET,1.0,1077,1297,23.69,2.34,278,1,65,2,1,2/26/2019,1104,HFR,1316,829,12.85,3.83,0.732
791,7-Mar,DLLO,MET,3.0,1027,1218,21.26,2.03,272,1,63,1,1,2/21/2019,1616,HFR,1135,715,11.6,3.38,0.552
792,7-Mar,DLLO,CON,2.0,955,1071,22.24,1.24,273,1,62,1,1,2/21/2019,2213,HFR,1110,699,12.13,3.7,0.68
798,13-Mar,DLLO,DDG,2.0,1033,1249,24.66,2.3,272,1,61,1,1,2/19/2019,1104,HFR,1268,799,10.79,4.06,0.824
