"ID","Birth.date","Development.Treatment","Calan.Treatment","Pen..","Initial.BW","Final.BW","DMI","ADG","Gest.Length","Calved.First.21.Days","X1st.Calf.BW","Calving.Ease","Calf.Vigor","Birth.date.1","Sire","SEX","Final.Calf.BW","HCW","REA","YG","BF"
812,9,3,1,2,34,17,1,14,11,2,26,1,1,22,5,3,58,63,47,33,30
813,27,2,2,3,26,26,1,19,12,2,24,1,1,31,6,3,48,53,19,66,78
815,50,3,2,3,76,43,1,78,7,2,15,1,1,11,5,3,44,49,71,25,52
817,33,3,2,1,96,58,1,66,1,2,15,1,1,1,6,3,73,78,71,62,79
820,6,2,3,4,59,24,1,5,12,2,30,1,1,25,6,3,79,1,96,48,75
821,48,2,3,1,61,10,1,2,8,2,15,1,1,24,6,3,23,28,55,17,24
822,46,2,2,1,45,27,1,12,2,2,12,1,1,2,5,2,41,46,70,10,12
823,5,3,1,3,86,20,1,40,9,2,14,1,1,19,6,3,63,68,66,27,36
824,5,3,2,4,50,66,1,34,13,2,34,1,1,31,5,3,44,49,45,17,44
826,19,6,1,3,49,16,1,6,13,2,14,1,1,31,6,3,75,80,87,20,29
832,50,3,3,2,36,5,1,1,11,2,15,1,1,22,4,3,66,71,53,64,77
836,33,2,2,2,17,25,1,26,10,2,35,3,1,25,6,3,80,2,95,30,39
841,5,2,2,4,20,22,1,22,6,2,8,1,2,34,5,2,50,55,89,27,69
842,31,2,1,3,18,18,1,20,11,2,9,1,1,28,4,2,40,45,97,1,7
843,42,3,2,4,52,32,1,11,9,2,20,1,1,16,5,3,60,65,56,35,35
848,50,3,2,1,37,27,1,15,13,2,14,1,1,31,6,2,83,5,21,4,1
852,17,6,3,3,40,15,1,9,20,1,3,1,3,39,6,2,44,49,45,17,44
854,26,3,1,4,42,19,1,10,4,2,3,1,2,6,6,2,22,27,14,58,68
855,2,3,3,1,47,57,1,29,16,2,9,1,1,37,4,2,61,66,63,34,45
861,28,2,1,4,62,9,1,4,18,1,8,1,1,43,4,2,31,36,83,12,37
863,19,2,1,1,38,55,1,35,9,2,29,1,1,22,6,2,78,83,99,19,67
869,26,2,3,1,52,61,1,24,9,2,14,1,1,16,5,2,61,66,74,38,59
872,5,3,1,3,51,4,1,3,8,2,22,1,5,16,5,2,44,49,45,17,44
877,18,6,2,2,6,3,1,7,9,2,13,1,1,16,4,2,19,24,90,5,11
878,49,3,2,3,55,30,1,8,8,2,16,1,1,16,5,2,63,68,33,67,83
884,14,2,1,2,53,35,1,13,8,2,17,1,1,16,4,3,81,3,93,68,85
885,3,6,1,2,53,45,1,16,10,2,22,1,1,22,6,3,72,77,61,53,54
888,42,3,3,2,46,35,1,15,4,2,22,1,2,6,5,3,44,49,45,17,44
889,5,3,3,3,96,7,1,17,8,2,15,1,1,24,1,3,44,49,45,17,44
898,4,3,1,1,68,52,1,93,7,2,13,1,1,13,6,2,3,8,12,46,66
